Week,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Season,Result,HomeTeam_value,AwayTeam_value,Divisao,HomeTeam_value_norm1,AwayTeam_value_norm1,HomeTeam_value_norm2,AwayTeam_value_norm2
6.0,1999-09-11,Troyes,Nantes,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-11,Lens,Sedan,0,3,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-11,Bastia,Nancy,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-11,Lyon,Auxerre,0,0,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-11,Montpellier,Marseille,3,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-11,Metz,Strasbourg,0,0,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-12,Rennes,Monaco,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-09-12,Paris S-G,Bordeaux,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-18,Auxerre,Saint-Étienne,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-18,Bordeaux,Lyon,1,3,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Nantes,Rennes,3,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Sedan,Bastia,2,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Monaco,Metz,2,2,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Marseille,Troyes,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Nancy,Montpellier,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Strasbourg,Paris S-G,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-09-19,Le Havre,Lens,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,1999-09-25,Metz,Nantes,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,1999-09-25,Bordeaux,Auxerre,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,1999-09-25,Paris S-G,Monaco,0,3,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
