Week,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Season,Result,HomeTeam_value,AwayTeam_value,Divisao,HomeTeam_value_norm1,AwayTeam_value_norm1,HomeTeam_value_norm2,AwayTeam_value_norm2
4.0,17/4/2003,Sao Paulo,Fortaleza,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,17/4/2003,Parana,Goias,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
12.0,18/4/2003,Flamengo,Cruzeiro,3,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,19/4/2003,Bahia,Atletico-MG,2,4,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,19/4/2003,Sao Caetano,Gremio,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,19/4/2003,Flamengo,Santos,0,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Sao Paulo,Vasco,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Internacional,Corinthians,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Criciuma,Guarani,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Juventude,Vitoria,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Fortaleza,Athletico-PR,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Ponte Preta,Paysandu,4,4,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Cruzeiro,Goias,4,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,20/4/2003,Fluminense,Parana,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,21/4/2003,Coritiba,Figueirense,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,26/4/2003,Atletico-MG,Coritiba,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,26/4/2003,Parana,Bahia,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,26/4/2003,Vitoria,Internacional,0,3,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,26/4/2003,Guarani,Cruzeiro,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Corinthians,Flamengo,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Goias,Juventude,7,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Figueirense,Ponte Preta,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Santos,Fortaleza,4,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Gremio,Fluminense,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Athletico-PR,Criciuma,4,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Paysandu,Sao Paulo,5,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,27/4/2003,Vasco,Sao Caetano,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,3/5/2003,Flamengo,Vitoria,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,3/5/2003,Bahia,Gremio,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,3/5/2003,Cruzeiro,Athletico-PR,5,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Fortaleza,Corinthians,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Sao Paulo,Figueirense,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Sao Caetano,Paysandu,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Internacional,Goias,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Ponte Preta,Atletico-MG,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Juventude,Guarani,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Coritiba,Parana,2,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Criciuma,Santos,1,3,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,4/5/2003,Fluminense,Vasco,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,10/5/2003,Goias,Flamengo,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,10/5/2003,Santos,Cruzeiro,0,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
8.0,10/5/2003,Parana,Ponte Preta,3,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
